section_name,duration,pb_mapping_id,event_id
"productSection",102,56361,74950
"traceSection",160,49559,75437
"productSection",61,50249,76659
"moreSection",116,54198,75056
"productSection",81,49140,78602
"productSection",135,49425,73631
"moreSection",157,52626,73030
"productSection",131,48269,79515
"moreSection",133,52559,77764
"moreSection",104,53504,75701
"moreSection",78,56611,77432
"productSection",133,46645,76192
"productSection",87,53552,74732
"moreSection",135,56529,71266
"productSection",108,46116,71296
"productSection",139,47128,78810
"productSection",68,52924,78966
"moreSection",144,49345,73084
"infoSection",85,53472,69226
"moreSection",134,46854,79148
"moreSection",135,54829,79020
"moreSection",148,54069,77739
"moreSection",87,55489,77564
"moreSection",78,46652,72801
"infoSection",135,49152,74495
"moreSection",161,50341,69869
"moreSection",127,54334,75699
"productSection",96,52250,71355
"productSection",152,55063,72337
"infoSection",103,51267,75478
"productSection",124,50999,74007
"productSection",147,55965,72371
"traceSection",152,54698,69420
"productSection",63,51880,72915
"productSection",101,56019,75671
"infoSection",161,53119,79401
"productSection",170,50562,76565
"productSection",72,52185,79395
"infoSection",79,56439,70407
"moreSection",142,47978,78780
"moreSection",72,54451,74319
"moreSection",89,52515,68953
"productSection",105,56249,76431
"moreSection",166,52153,74990
"infoSection",57,53064,73340
"productSection",80,51694,77768
"infoSection",166,55549,70273
"traceSection",117,56625,76234
"moreSection",134,48524,78522
"productSection",132,48513,77548
"infoSection",92,47077,70760
"moreSection",96,55027,77792
"productSection",81,56618,69063
"productSection",84,50612,73253
"infoSection",127,47497,69984
"productSection",113,47385,75245
"productSection",162,54269,77953
"productSection",159,56475,69717
"infoSection",158,51603,74384
"infoSection",128,55651,75217
"productSection",135,47343,77952
"moreSection",70,48231,73543
"productSection",73,54719,78987
"moreSection",82,49858,76990
"infoSection",125,50410,69035
"moreSection",115,54327,76040
"traceSection",67,47949,78356
"infoSection",98,52084,76577
"moreSection",150,48023,78890
"moreSection",119,48946,75796
"traceSection",107,48631,69797
"productSection",152,50229,69120
"moreSection",88,46246,78426
"productSection",119,50573,75703
"productSection",92,47523,78749
"infoSection",106,52319,75238
"productSection",135,56122,74353
"productSection",83,47890,78399
"productSection",105,55522,77789
"moreSection",143,52644,79422
"productSection",91,46160,74358
"moreSection",91,50937,76250
"productSection",168,46668,77805
"traceSection",100,48273,69293
"productSection",153,56601,70400
"productSection",76,52985,69512
"productSection",138,46708,70105
"moreSection",109,56749,75749
"moreSection",93,55142,78641
"infoSection",65,46359,75265
"moreSection",128,56757,69028
"moreSection",74,52096,76198
"productSection",157,55141,74577
"productSection",85,55156,71290
"productSection",123,51610,70781
"moreSection",103,56309,78943
"moreSection",94,48723,73712
"traceSection",136,52349,75493
"moreSection",136,48671,77075
"productSection",52,49016,70826
"infoSection",153,49304,72098
"infoSection",106,48990,76696
"infoSection",106,49807,72840
"moreSection",96,53479,79156
"moreSection",121,48019,75764
"infoSection",83,54610,77519
"traceSection",71,51611,71819
"traceSection",118,54157,69791
"productSection",63,51737,70521
"productSection",115,49244,77647
"infoSection",154,54404,77628
"infoSection",145,46299,77859
"infoSection",52,51276,79131
"traceSection",54,46895,78041
"moreSection",89,46865,74217
"moreSection",145,54086,68940
"moreSection",141,49163,68784
"infoSection",157,55484,75875
"moreSection",92,47942,78330
"productSection",62,48995,79250
"productSection",113,54888,74421
"traceSection",59,54441,78880
"productSection",59,48896,74712
"moreSection",52,46843,78978
"moreSection",103,50413,77835
"productSection",131,49062,78332
"traceSection",93,51684,76247
"moreSection",55,52709,76998
"productSection",126,48341,74017
"moreSection",111,54520,76865
"productSection",54,54051,78870
"productSection",152,51380,74966
"productSection",79,55353,71009
"productSection",88,51367,73474
"moreSection",52,48323,71861
"infoSection",149,55758,71714
"productSection",143,48681,73419
"moreSection",135,49312,74235
"productSection",56,46847,69044
"productSection",164,50188,71378
"moreSection",151,55359,77220
"moreSection",159,52716,79321
"moreSection",130,52982,76601
"infoSection",166,51624,70031
"moreSection",108,56244,77568
"productSection",51,51632,73685
"traceSection",86,47533,76937
"traceSection",95,56318,74345
"infoSection",82,48464,70790
"infoSection",142,53430,69686
"traceSection",145,56784,71351
"productSection",137,51218,68798
"traceSection",124,46422,72217
"moreSection",165,53579,78286
"infoSection",64,55151,69919
"infoSection",165,54710,71956
"infoSection",58,55396,70478
"productSection",97,52736,73406
"traceSection",142,46707,76239
"moreSection",68,49221,76365
"infoSection",160,49077,72554
"moreSection",101,50904,72981
"productSection",51,48069,71786
"moreSection",166,56116,69088
"productSection",93,50513,72461
"productSection",118,47883,75821
"infoSection",161,52551,76861
"productSection",73,48306,75901
"infoSection",162,48107,69564
